timestamp,cpu_percent,memory_mb,memory_percent
1765352866,0.24,240,1.51
1765352868,0.00,9.992,0.06
1765352871,0.17,240,1.51
1765352873,0.00,9.992,0.06
1765352878,0.20,240,1.51
1765352880,0.00,9.992,0.06
1765352883,0.23,240,1.51
1765352885,0.00,9.992,0.06
1765352888,0.23,240,1.51
1765352890,0.00,9.984,0.06
1765352892,2.80,240,1.51
1765352894,0.00,9.984,0.06
1765352897,0.22,240,1.51
1765352899,0.00,9.984,0.06
1765352902,0.26,240,1.51
1765352904,0.00,9.984,0.06
1765352910,0.26,240,1.51
1765352912,0.00,9.984,0.06
1765352914,0.22,240,1.51
1765352916,0.00,9.984,0.06
1765352919,0.26,240,1.51
1765352921,0.00,10.1,0.06
1765352924,0.29,240,1.51
1765352926,0.00,9.988,0.06
